manufacturer,foundation,founder,location_city,industry,owner
smith micro software inc.,1982,,"Pittsburgh,Pennsylvania,UnitedStates",Software,
punch! software,1997,sublBrianFlemingChrisZimmermanBruceObergDarrellPlankTomSaxtonCathySaxton,"Bellevue,Washington",VideogameindustryVideogames,
avid technology,,BillWarner,,unbulletedlistTechnologyMultimedia,
honest technology,1998,"JayChoi<refname""2007pr"">citeweburlhttp://www.newswiretoday.com/news/22536/titleNewswire/RedHerringReleasesListof200Finalistsforthe'RedHerring100Asia'Awards2007-Software-FUELMarketingAndSalespublisherNewswireTodaydateAugust20,2007accessdateFebruary16,2012</ref>","Austin,TX<refname""2007pr""/>",Software,
omni group,1989,,,Computersoftware,
myob us,1991,,,Informationtechnology,
mariner software,1990,,,Computersoftware,
aladdin systems,1985,Jacob(Yanki)MargalitandTzviPopowski,"Belcamp,MD",SecuritySoftware&Services,
electronic arts,,TripHawkins,,VideogameindustryVideogames,
ulead systems,1989,,Taipei,SoftwareSoftwarepublishing,
digidesign,1984,,,Technology,
extensis corporation,,,,SoftwareComputersoftware,
m-audio,1998,,"Cumberland,RhodeIsland",,
sony media,,,,ublMusicindustryMusicEntertainment,
handmark inc.,2001,,"SanLuisObispo,CA",,
now software,,,,SoftwareEngineering,
d-link systems inc.,1986,,Taipei,Networkingequipment,
ipswitch inc,1991,,,,
stamps.com,1996,,"ElSegundo,California",Service(economics)BusinessServices,
digital leisure inc.,1997,,,VideogameindustryVideogames,
pc tools,2003,,Australia,,
sierra online,,KenWilliams(gamedeveloper)KenWilliamsRobertaWilliams,,VideogameindustryVideogames,
sony online entertainment,,,,VideogameindustryVideogames,
intervideo,,,,SoftwareSoftwarepublishing,
steinberg (yamaha),1984,KarlSteinberg ManfredRürup,Hamburg,SoftwareDevelopment,
e-mu,1971,,"ScottsValley,CaliforniaScottsValley,California",ComputersoftwareComputerhardware,
interplay,,sPlainlist*BrianFargo*TroyWorrell*JayPatel*RebeccaHeineman*ChrisWells,,VideogameindustryVideogames,
extensis,,,,SoftwareComputersoftware,
